ID,Name
13683,PA 48:1
13687,SM 46:1;O6
13690,DG 64:10
13701,TG 84:5;O
13712,TG 48:0
13713,DG 52:3
13716,DG 52:1
13733,DG 58:3
13734,DG 58:2
13740,PC 47:4
13762,DG 54:4
13771,TG 55:1
13772,DG 59:4
13777,TG 61:10;O2
13778,SM 53:3;O4
13784,TG 93:7;O2
13788,TG 97:6
13803,DG 41:2
13804,CE 20:1
13806,CE 22:1
13818,DG 61:3;O2
13820,TG 64:11;O2
13836,TG 95:8;O2
13839,TG 97:7
13858,TG 63:11;O2
13865,DG 44:9;O2
13870,DG 61:5
13876,TG 65:12;O2
13890,DG 63:6
13905,CE 25:3
13957,TG 52:2
13967,TG 86:5;O
13973,DG 42:3
13984,TG 61:4
13998,CE 15:0
14000,CE 22:4
14032,TG 51:1
14036,DG 57:5
14049,TG 80:6;O3
14051,TG 82:7;O3
14055,Cer 38:0;O6
14060,SM 48:2;O2
14064,SM 47:1;O6
14066,TG 63:5
14073,DG 50:2
14076,DG O-56:6
14079,TG 55:3
14084,TG 64:5
14087,TG 81:6;O3
14116,DG 38:1;O2
14131,TG 56:3
14171,DG 60:6
14194,DG O-42:1
14209,TG 62:3
14210,TG 61:0;O
14211,DG 65:2;O
14224,TG O-85:3
14251,CE 22:1
14257,TG 61:1;O
14262,TG O-78:0;O2
14286,DG 44:8;O2
14295,DG O-44:3
14301,CE 30:1;O
14313,TG O-98:8
14329,DG 40:1;O
14332,DG O-54:4
14356,TG 83:3;O
14364,DG 39:5;O
14378,DG O-56:5
14438,DG 36:1;O2
14573,ST 26:0;O4;S
14627,ST 24:1;O3;GlcA
14628,ST 21:1;O4;HexNAc
14638,ST 27:2;O6;Hex
14657,PI 28:2
14724,LPG 16:0
14764,Car 18:3
14802,LPI 32:6
14929,ST 27:1;O2
14960,Car 20:2;O4
15001,ST 28:0;O4;T
15100,PE 24:0;O
15153,DG 26:6
15253,SM 29:0;O5
15391,LPG 25:0;O
15566,PC 33:2
15567,SM 42:2;O3
15640,PA 43:4
15646,MIPC 28:6;O6
15757,SHexCer 42:3;O2
15897,SM 36:1;O3
16239,PC 35:2
16250,HexCer 38:0;O5
16479,PIP3 39:5;O
16517,PC 41:1;O
16525,HexCer 38:3;O2
16535,HexCer 38:5;O2
16539,PC 36:2
18042,HexCer 48:4;O4
18078,HexCer 47:6;O2
18147,PA O-46:3
18168,PI O-37:0;O
18192,CerP 50:4;O2
18500,HexCer 41:1;O5
18525,TG 53:2;O3
18589,SM 47:1;O5
18724,TG 49:3
18737,SM 51:2;O5
18831,HexCer 48:5;O4
18836,TG 44:0;O
18850,SM 47:5;O3
18891,TG 88:8;O
18893,SM 35:2;O5
18916,TG 59:1;O
18958,ACer 60:2;O2
19001,TG 56:4
19196,ST 23:1;O5;HexNAc
19280,LPS O-18:0
19655,FA 22:0;O
20052,PC O-38:5
20079,PC 44:12;O
20200,HexCer 43:6;O2
21043,TG 53:0;O3
21907,PI 36:3
21950,LPI O-31:0
21994,PE-Cer 33:2;O2
22046,NA 26:4;N
22073,SHexCer 44:3;O2
22107,LPI O-34:0
22114,PA 45:8
22203,PA 43:8
22283,Cer 39:1;O4
22289,PC 42:6
22338,PC 42:5;O
22729,SHexCer 42:2;O2
23274,Cer 50:5;O4
23460,DG 42:6
23641,TG 95:5
23699,TG 52:3
24498,PG O-44:7
79993,ST 26:1;O8;G
80962,SHexCer 28:2;O2
81521,PG 25:1;O2
82074,ST 30:0;O8;T
82615,PG 23:1;O
83000,ST 25:2;O4;HexNAc
83183,ST 30:1;O8;T
83261,NAT 20:2;O
83284,NAT 18:2
83386,ST 22:5;O7
83395,ST 22:4;O5;G
83440,ST 24:6;O6
83470,PI-Cer 32:1;O3
83489,NAE 18:5
83528,LPC 20:5
83583,LPC 18:3
83610,LPC 14:0
83624,LPC 16:1
83654,PC O-18:4_2:0
83744,LPC O-16:0;O
83935,LPC 15:0
83971,LPC 20:5
84003,PC O-18:3_2:0
84075,CerP 30:5;O3
84132,LPC 16:0
84511,LPC 18:1
84860,PE O-18:0_2:0
84893,LPC O-16:1
85005,ST 30:4;O
85028,LPC O-16:0
85082,NA 18:2
85115,LPC O-18:1
85154,LPC 18:0
85188,CAR 18:0
85199,MG 16:0
85208,LPC 18:0
